optimizer step,MLM + QA(SQuAD + Ant.),QA(SQuAD),QA(SQuAD + Ant.),MLM + QA(Squad)
500,3.0581,3.216,3.1204,3.135
1000,2.0407,2.0935,2.1724,2.1273
1500,1.785,1.7854,1.7808,1.9654
2000,1.6836,1.5805,1.6136,1.7701
2500,1.5447,1.5404,1.4823,1.7405
3000,1.5162,1.4753,1.477,1.6251
3500,1.4906,1.3928,1.3868,1.5469
4000,1.401,1.3721,1.3284,1.523
4500,1.3506,1.3914,1.3593,1.5382
5000,1.4285,1.3583,1.3229,1.503
5500,1.35,1.3026,1.2737,1.4528
6000,1.3326,1.3035,1.2526,1.4431
6500,1.3542,1.2948,1.23,1.4067
7000,1.3204,1.3023,1.2618,1.422
7500,1.3048,1.2466,1.2141,1.3677
8000,1.2622,1.2508,1.1556,1.3794
8500,1.2458,1.2296,1.1792,1.3718
9000,1.235,1.2217,1.1576,1.3285
9500,1.2145,1.1883,1.1735,1.2978
10000,1.1839,1.2031,1.114,1.3231
10500,1.2046,1.1825,1.1332,1.3077
11000,1.1792,1.1513,1.1199,1.2647
11500,1.1722,0.9888,1.0939,1.1155
12000,1.1525,0.9922,1.1045,1.1228
12500,1.0533,1.0339,1.0996,1.1501
13000,1.0134,0.9984,1.1003,1.1165
13500,0.9551,1.0138,1.0787,1.1188
14000,1.003,0.9646,1.0792,1.0765
14500,1.0144,1.0014,1.0625,1.0965
15000,0.952,1.0114,1.0101,1.1114
15500,0.9576,0.9822,1.0302,1.1071
16000,0.9908,0.9649,1.0436,1.079
16500,0.9855,0.9975,1.0051,1.085
17000,0.9758,0.9623,0.975,1.0494
17500,0.9469,1.0025,0.9803,1.1049
18000,0.9364,0.9722,0.9766,1.0927
18500,0.9394,0.946,0.9762,1.0696
19000,0.989,0.9484,0.9475,1.0577
19500,0.9427,0.9764,0.9919,1.0475
20000,0.9303,0.9794,0.988,1.0779
20500,0.9511,0.9624,0.9509,1.0696
21000,0.9362,0.9576,0.9741,1.0646
21500,0.8947,0.9598,0.9552,1.0721
22000,0.9553,0.8792,0.9165,0.9979
22500,0.9246,0.7731,0.9639,0.9017
23000,0.9495,0.8033,0.9396,0.8962
23500,0.9299,0.8113,0.9317,0.9114
24000,0.9428,0.7517,0.9135,0.8691
24500,0.8814,0.7944,0.9293,0.9059
25000,0.768,0.8004,0.9392,0.9112
25500,0.7628,0.7802,0.7913,0.8959
26000,0.7678,0.8126,0.7602,0.9233
26500,0.7703,0.7599,0.7826,0.8663
27000,0.7781,0.7512,0.78,0.8545
27500,0.7969,0.8257,0.7816,0.9259
28000,0.7758,0.7935,0.7633,0.8971
28500,0.8091,0.7889,0.7637,0.881
29000,0.779,0.789,0.7473,0.9008
29500,0.7817,0.7663,0.7798,0.8565
30000,0.7727,0.808,0.7832,0.9151
30500,0.7668,0.7598,0.7163,0.8673
31000,0.7677,0.7646,0.7201,0.8832
31500,0.8111,0.7554,0.7388,0.8512
32000,0.7475,0.7694,0.7754,0.8855
32500,0.7752,0.7741,0.7349,0.8856
33000,0.7648,,0.7528,
33500,0.7468,,0.7377,
34000,0.7545,,0.7213,
34500,0.7489,,0.7456,
35000,0.7703,,0.7508,
35500,0.779,,0.7615,
36000,0.7558,,0.7468,
36500,0.7444,,0.7332,
,,,0.7333,
,,,0.7154,
,,,0.7153,
,,,0.7511,
,,,0.7038,
,,,0.7096,
,,,0.6997,
,,,0.712,
,,,0.6891,
,,,0.7181,
,,,0.6978,
,,,0.6668,
,,,0.6902,
,,,0.6859,
,,,0.6789,
,,,0.6612,
,,,0.6846,
,,,0.6832,
,,,0.6595,
,,,0.6763,
,,,0.6873,
,,,0.6487,
,,,0.6807,
,,,0.6407,
,,,0.6569,
,,,0.6339,
,,,0.6635,
,,,0.539,
,,,0.5091,
,,,0.5284,
,,,0.5498,
,,,0.5514,
,,,0.5165,
,,,0.5158,
,,,0.5256,
,,,0.5403,
,,,0.533,
,,,0.5239,
,,,0.5282,
,,,0.5421,
,,,0.5352,
,,,0.5336,
,,,0.5305,
,,,0.4996,
,,,0.5511,
,,,0.4897,
,,,0.5171,
,,,0.5231,
,,,0.4978,
,,,0.5131,
,,,0.5146,
,,,0.5134,
,,,0.4995,
,,,0.4783,
,,,0.5128,
,,,0.4911,
,,,0.5123,
,,,0.5093,
,,,0.4881,
,,,0.4993,
,,,0.4785,
,,,0.5177,
,,,0.4681,
,,,0.4882,
,,,0.4962,
,,,0.4778,
,,,0.5133,
,,,0.4784,
,,,0.4886,
,,,0.5033,
,,,0.485,
,,,0.4853,
,,,0.4936,
,,,0.4797,
,,,0.4624,
,,,0.4766,
,,,0.4521,
